epoch,exp_it,exp_iter,seg_and_cls,use_seg_ratio,case_id,s_cfs
1,181,3,2,0.0,A03,"[0.0, 0.0, 0.22243474951327455, 0.1836987922674574]"
1,181,3,2,0.0,A04,"[0.0, 0.0, 0.0, 0.7718707254712589]"
1,181,3,2,0.0,A05,"[0.0, 0.10396407677708427, 0.1442289156626506, 0.5441752193609094]"
1,181,3,2,0.0,A07,"[0.0, 0.31537986642470955, 0.0, 0.7544485386797286]"
1,181,3,2,0.0,A09,"[0.0, 0.0635150619109222, 0.34727748551285814, 0.5067310777496776]"
1,181,3,2,0.0,A10,"[0.0, 0.0, 0.00621673501439665, 0.4438848167413216]"
1,186,3,1,0.0,A02,"[0.0, 0.21692517349760135, 0.16002325325624148, 0.5717468766431957]"
1,186,3,1,0.0,A03,"[0.0, 0.0, 0.38258169881797455, 0.16065690433830573]"
1,186,3,1,0.0,A04,"[0.0, 0.0, 0.0, 0.8026687726791403]"
1,186,3,1,0.0,A05,"[0.0, 0.04015516007125377, 0.10681623252093632, 0.5750846397541708]"
1,186,3,1,0.0,A07,"[0.0, 0.18250343090063703, 0.0, 0.7570175881936724]"
1,186,3,1,0.0,A09,"[0.0, 0.08179814202487797, 0.34183529411764707, 0.549893162201808]"
1,186,3,1,0.0,A10,"[0.0, 0.0, 0.02902664916078209, 0.45404299105577983]"
1,187,1,2,0.0,A02,"[0.0, 0.24991185295076407, 0.1067987009529894, 0.5695782619672498]"
1,187,1,2,0.0,A03,"[0.0, 0.0, 0.28579303393260724, 0.22984904465322498]"
1,187,1,2,0.0,A04,"[0.0, 0.0, 0.0, 0.8330055708584948]"
1,187,1,2,0.0,A05,"[0.0, 0.1340461303058352, 0.14179326779862975, 0.5647765281679699]"
1,187,1,2,0.0,A07,"[0.0, 0.1861071597913703, 0.0, 0.7737519837338759]"
1,187,1,2,0.0,A09,"[0.0, 0.09191467258496737, 0.27382778211843234, 0.6319202627273411]"
1,187,1,2,0.0,A10,"[0.0, 0.0, 0.0018289655893188406, 0.4100501477542216]"
1,196,1,0,0.0,A02,"[0.0, 0.06815486708993607, 0.10886558085330149, 0.005486857020481558]"
1,196,1,0,0.0,A03,"[0.0, 0.0, 0.16155963442266458, 0.009484802759215347]"
1,196,1,0,0.0,A04,"[0.0, 0.0, 0.0, 0.001342274938858239]"
1,196,1,0,0.0,A05,"[0.0, 0.18469482024745376, 0.01979992024550514, 0.006683390788278722]"
1,196,1,0,0.0,A07,"[0.0, 0.029834535321061062, 0.0, 0.0025654106843524525]"
1,196,1,0,0.0,A09,"[0.0, 0.027082660928814777, 0.2492796767848599, 0.006671659584874515]"
1,196,1,0,0.0,A10,"[0.0, 0.0, 0.029955828606022555, 0.004653643259180755]"
1,0,1,1,0.15,A02,"[0.0, 0.16915287401535095, 0.08953469117403544, 0.5800135385170812]"
1,0,1,1,0.15,A03,"[0.0, 0.0, 0.1583839660178514, 0.21458991146940143]"
1,0,1,1,0.15,A04,"[0.0, 0.0, 0.0, 0.8327368907977072]"
1,0,1,1,0.15,A05,"[0.0, 0.24044701637654337, 0.05396234201965185, 0.5140999500307283]"
1,0,1,1,0.15,A07,"[0.0, 0.1472104774672579, 0.0, 0.7572855339342086]"
1,0,1,1,0.15,A09,"[0.0, 0.06969804258762834, 0.35393844777533173, 0.6495627076791151]"
1,0,1,1,0.15,A10,"[0.0, 0.0, 0.015995678113402544, 0.47221918473968777]"
1,1,5,0,0.25,A02,"[0.0, 0.08029793568669907, 0.06452556167454555, 0.266035737784293]"
1,1,5,0,0.25,A03,"[0.0, 0.0, 0.6616642312704869, 0.3429499137835412]"
1,1,5,0,0.25,A04,"[0.0, 0.0, 0.0, 0.6539213927773266]"
1,1,5,0,0.25,A05,"[0.0, 0.3374943734902915, 0.0, 0.5525745018515252]"
1,1,5,0,0.25,A07,"[0.0, 0.02382521370297839, 0.0, 0.31583384903715067]"
1,1,5,0,0.25,A09,"[0.0, 0.05352793155510821, 0.1441780706768434, 0.6158005914659908]"
1,1,5,0,0.25,A10,"[0.0, 0.0, 0.15522361198596238, 0.30643401346092564]"
1,2,3,0,0.025,A02,"[0.0, 0.10763260971905037, 0.026344380621268235, 0.30119363447766767]"
1,2,3,0,0.025,A03,"[0.0, 0.0, 0.07294369690616533, 0.06492123727101477]"
1,2,3,0,0.025,A04,"[0.0, 0.0, 0.0, 0.5221108946992005]"
1,2,3,0,0.025,A05,"[0.0, 0.24416200938469002, 0.001180273195346042, 0.12390969389390862]"
1,2,3,0,0.025,A07,"[0.0, 0.09584899312518538, 0.0, 0.3221473229135559]"
1,2,3,0,0.025,A09,"[0.0, 0.05782900081234769, 0.1686375106884398, 0.4443207411593964]"
1,2,3,0,0.025,A10,"[0.0, 0.0, 0.02248332804064783, 0.23499289815934044]"
1,3,1,0,0.01,A02,"[0.0, 0.07083062431870304, 0.11221992745448549, 0.08211556439029306]"
1,3,1,0,0.01,A03,"[0.0, 0.0, 0.07710985210801266, 0.15181609195402299]"
1,3,1,0,0.01,A04,"[0.0, 0.0, 0.0, 0.12946030088870752]"
1,3,1,0,0.01,A05,"[0.0, 0.11552708573795072, 0.023492139398649057, 0.18840712936009396]"
1,3,1,0,0.01,A07,"[0.0, 0.033683874815686146, 0.0, 0.11446100264559124]"
1,3,1,0,0.01,A09,"[0.0, 0.049988600886804485, 0.1866257682860734, 0.14536720077894671]"
1,3,1,0,0.01,A10,"[0.0, 0.0, 0.04246265679712779, 0.06968367280110027]"
1,4,4,1,0.1,A02,"[0.0, 0.14797452774656178, 0.11928923348356008, 0.5378446775527319]"
1,4,4,1,0.1,A03,"[0.0, 0.0, 0.37389387547971714, 0.1948595141633999]"
1,4,4,1,0.1,A04,"[0.0, 0.0, 0.0, 0.8224015976436987]"
1,4,4,1,0.1,A05,"[0.0, 0.35568071049496375, 0.037100345751913295, 0.572474985208807]"
1,4,4,1,0.1,A07,"[0.0, 0.26971598414795245, 0.0, 0.736174629326675]"
1,4,4,1,0.1,A09,"[0.0, 0.06725814041571498, 0.23762139506754523, 0.6184530770932768]"
1,4,4,1,0.1,A10,"[0.0, 0.0, 0.016673403395311235, 0.44172443566056285]"
